Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Normality_p_value,Levene_p_value,Assumptions_Passed
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,USA,Performance_Score,1.1276526727471026e-09,0.014338654420364482,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,USA,Leadership_Avg,4.4017198651534915e-11,0.004938164835901814,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,USA,Status_Score,4.4017198651534915e-11,0.061095965324585735,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,USA,Warmth_Score,4.4017198651534915e-11,0.4543380332981287,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,China,Hireability_Score,7.766376725845856e-12,4.29085076298685e-06,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,China,Competence_Score,0.0,0.00226283620020166,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,China,Fit_Score,7.766376725845856e-12,2.3023442068278096e-06,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,China,Performance_Score,0.0,4.227184198177977e-06,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,China,Leadership_Avg,7.766376725845856e-12,0.041057171552630445,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,China,Status_Score,7.766376725845856e-12,3.90028318231593e-05,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,China,Warmth_Score,4.4017198651534915e-11,0.009422661045490026,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,USA,Hireability_Score,4.4017198651534915e-11,0.02088159953270235,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,USA,Competence_Score,0.0,0.0005710207967952379,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,USA,Fit_Score,7.766376725845856e-12,0.0008182797205802344,False
